date,Invoice ID,Branch,City,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Total,Time,Payment,cogs,gross margin percentage,gross income,Rating,check_total
2021-08-19,548-46-9322,B,Hyderabad,Normal,Male,Food And Beverages,39.9,10,19.95,418.95,15:24,Credit Card,399.0,4.761904762,19.95,5.9,418.95
2021-08-20,505-02-0892,B,Hyderabad,Member,Male,Health And Beauty,42.57,8,17.028,357.588,14:12,Ewallet,340.56,4.761904762,17.028,5.6,357.588
2021-08-23,234-65-2137,C,Vizag,Normal,Male,Home And Lifestyle,95.58,10,47.79,1003.59,13:32,Cash,955.8,4.761904762,47.79,4.8,1003.5899999999999
2021-08-24,687-47-8271,A,Banglore,Normal,Male,Fashion Accessories,98.98,10,49.49,1039.29,16:20,Credit Card,989.8,4.761904762,49.49,8.7,1039.29
2021-08-25,796-32-9050,A,Banglore,Normal,Male,Food And Beverages,51.28,6,15.384,323.064,16:31,Cash,307.68,4.761904762,15.384,6.5,323.064
2021-08-26,105-31-1824,A,Banglore,Member,Male,Sports And Travel,69.52,7,24.332,510.972,15:10,Credit Card,486.64,4.761904762,24.332,8.5,510.972
2021-08-27,249-42-3782,A,Banglore,Normal,Male,Health And Beauty,70.01,5,17.5025,367.5525,11:36,Ewallet,350.05,4.761904762,17.5025,5.5,367.5525
2021-08-30,316-55-4634,B,Hyderabad,Member,Male,Food And Beverages,80.05,5,20.0125,420.2625,12:45,Credit Card,400.25,4.761904762,20.0125,9.4,420.2625
2021-08-31,733-33-4967,C,Vizag,Normal,Male,Electronic Accessories,20.85,8,8.34,175.14,19:17,Cash,166.8,4.761904762,8.34,6.3,175.14000000000001
2021-09-01,608-27-6295,B,Hyderabad,Member,Male,Electronic Accessories,52.89,6,15.867,333.207,17:34,Credit Card,317.34,4.761904762,15.867,9.8,333.20700000000005
2021-09-02,414-12-7047,B,Hyderabad,Normal,Male,Food And Beverages,19.79,8,7.916,166.236,12:04,Ewallet,158.32,4.761904762,7.916,8.7,166.236
2021-09-03,827-26-2100,A,Banglore,Member,Male,Home And Lifestyle,33.84,9,15.228,319.788,16:21,Ewallet,304.56,4.761904762,15.228,8.8,319.78800000000007
2021-09-06,175-54-2529,A,Banglore,Member,Male,Food And Beverages,22.17,8,8.868,186.228,17:01,Credit Card,177.36,4.761904762,8.868,9.6,186.228
2021-09-07,139-52-2867,C,Vizag,Normal,Female,Fashion Accessories,22.51,7,7.8785,165.4485,10:50,Credit Card,157.57,4.761904762,7.8785,4.8,165.44850000000002
2021-09-08,407-63-8975,A,Banglore,Normal,Male,Food And Beverages,73.88,6,22.164,465.444,19:16,Ewallet,443.28,4.761904762,22.164,4.4,465.44399999999996
2021-09-09,342-65-4817,C,Vizag,Member,Male,Health And Beauty,86.8,3,13.02,273.42,16:47,Ewallet,260.4,4.761904762,13.02,9.9,273.41999999999996
2021-09-10,130-98-8941,C,Vizag,Normal,Male,Fashion Accessories,64.26,7,22.491,472.311,10:00,Cash,449.82,4.761904762,22.491,5.7,472.31100000000004
2021-09-13,434-83-9547,C,Vizag,Member,Male,Food And Beverages,38.47,8,15.388,323.148,11:51,Cash,307.76,4.761904762,15.388,7.7,323.14799999999997
2021-09-14,851-28-6367,A,Banglore,Member,Male,Sports And Travel,15.5,10,7.75,162.75,10:55,Ewallet,155.0,4.761904762,7.75,8.0,162.75
2021-09-15,824-88-3614,C,Vizag,Normal,Male,Health And Beauty,34.31,8,13.724,288.204,15:00,Ewallet,274.48,4.761904762,13.724,5.7,288.204
2021-09-16,586-25-0848,A,Banglore,Normal,Female,Sports And Travel,12.34,7,4.319,90.699,11:19,Credit Card,86.38,4.761904762,4.319,6.7,90.699
2021-09-17,895-66-0685,B,Hyderabad,Member,Male,Food And Beverages,18.08,3,2.712,56.952,19:46,Ewallet,54.24,4.761904762,2.712,8.0,56.952
2021-09-20,305-14-0245,B,Hyderabad,Member,Female,Home And Lifestyle,94.49,8,37.796,793.716,19:00,Ewallet,755.92,4.761904762,37.796,7.5,793.716
2021-09-21,732-04-5373,B,Hyderabad,Member,Male,Home And Lifestyle,46.47,4,9.294,195.174,10:53,Cash,185.88,4.761904762,9.294,7.0,195.174
2021-09-22,400-60-7251,A,Banglore,Normal,Male,Home And Lifestyle,74.07,1,3.7035,77.7735,12:50,Ewallet,74.07,4.761904762,3.7035,9.9,77.7735
2021-09-23,593-65-1552,C,Vizag,Normal,Female,Home And Lifestyle,69.81,4,13.962,293.202,20:50,Credit Card,279.24,4.761904762,13.962,5.9,293.202
2021-09-24,284-34-9626,B,Hyderabad,Normal,Female,Home And Lifestyle,77.04,3,11.556,242.676,10:39,Credit Card,231.12,4.761904762,11.556,7.2,242.67600000000002
2021-09-27,437-58-8131,B,Hyderabad,Normal,Female,Fashion Accessories,73.52,2,7.352,154.392,13:41,Ewallet,147.04,4.761904762,7.352,4.6,154.392
2021-09-28,286-43-6208,C,Vizag,Normal,Female,Food And Beverages,87.8,9,39.51,829.71,19:08,Cash,790.2,4.761904762,39.51,9.2,829.7099999999999
2021-09-29,641-43-2399,B,Hyderabad,Normal,Male,Home And Lifestyle,25.55,4,5.11,107.31,20:23,Ewallet,102.2,4.761904762,5.11,5.7,107.31
2021-09-30,831-07-6050,A,Banglore,Normal,Male,Electronic Accessories,32.71,5,8.1775,171.7275,11:30,Credit Card,163.55,4.761904762,8.1775,9.9,171.72750000000002
2021-10-01,556-86-3144,C,Vizag,Member,Female,Fashion Accessories,74.29,1,3.7145,78.0045,19:30,Cash,74.29,4.761904762,3.7145,5.0,78.00450000000001
2021-10-04,848-24-9445,C,Vizag,Member,Male,Health And Beauty,43.7,2,4.37,91.77,18:03,Cash,87.4,4.761904762,4.37,4.9,91.77000000000001
2021-10-05,856-22-8149,A,Banglore,Normal,Female,Home And Lifestyle,25.29,1,1.2645,26.5545,10:13,Ewallet,25.29,4.761904762,1.2645,6.1,26.554499999999997
2021-10-06,699-01-4164,C,Vizag,Normal,Male,Health And Beauty,41.5,4,8.3,174.3,19:58,Credit Card,166.0,4.761904762,8.3,8.2,174.3
2021-10-07,420-11-4919,C,Vizag,Member,Female,Food And Beverages,71.39,5,17.8475,374.7975,19:57,Credit Card,356.95,4.761904762,17.8475,5.5,374.7975
2021-10-08,606-80-4905,C,Vizag,Member,Female,Sports And Travel,19.15,6,5.745,120.645,10:01,Credit Card,114.9,4.761904762,5.745,6.8,120.645
2021-10-11,542-41-0513,B,Hyderabad,Member,Female,Electronic Accessories,57.49,4,11.498,241.458,11:57,Cash,229.96,4.761904762,11.498,6.6,241.458
2021-10-12,426-39-2418,C,Vizag,Normal,Male,Electronic Accessories,61.41,7,21.4935,451.3635,10:02,Cash,429.87,4.761904762,21.4935,9.8,451.3635
2021-10-13,875-46-5808,B,Hyderabad,Member,Male,Health And Beauty,25.9,10,12.95,271.95,14:51,Ewallet,259.0,4.761904762,12.95,8.7,271.95
2021-10-14,394-43-4238,B,Hyderabad,Member,Male,Home And Lifestyle,17.77,5,4.4425,93.2925,12:42,Credit Card,88.85,4.761904762,4.4425,5.4,93.29249999999999
2021-10-15,749-24-1565,A,Banglore,Normal,Female,Health And Beauty,23.03,9,10.3635,217.6335,12:02,Ewallet,207.27,4.761904762,10.3635,7.9,217.6335
2021-10-18,672-51-8681,C,Vizag,Member,Female,Electronic Accessories,66.65,9,29.9925,629.8425,18:19,Credit Card,599.85,4.761904762,29.9925,9.7,629.8425
2021-10-19,263-87-5680,C,Vizag,Member,Female,Home And Lifestyle,28.53,10,14.265,299.565,17:38,Ewallet,285.3,4.761904762,14.265,7.8,299.565
2021-10-20,573-58-9734,B,Hyderabad,Normal,Female,Fashion Accessories,30.37,3,4.5555,95.6655,13:41,Ewallet,91.11,4.761904762,4.5555,5.1,95.6655
2021-10-21,817-69-8206,B,Hyderabad,Normal,Female,Electronic Accessories,99.73,9,44.8785,942.4485,19:42,Credit Card,897.57,4.761904762,44.8785,6.5,942.4485000000001
2021-10-22,888-02-0338,A,Banglore,Normal,Male,Electronic Accessories,26.23,9,11.8035,247.8735,20:24,Ewallet,236.07,4.761904762,11.8035,5.9,247.87349999999998
2021-10-25,677-11-0152,C,Vizag,Normal,Female,Food And Beverages,93.26,9,41.967,881.307,18:08,Cash,839.34,4.761904762,41.967,8.8,881.307
2021-10-26,142-63-6033,B,Hyderabad,Normal,Male,Home And Lifestyle,92.36,5,23.09,484.89,19:17,Ewallet,461.8,4.761904762,23.09,4.9,484.89
2021-10-27,656-16-1063,B,Hyderabad,Normal,Male,Sports And Travel,46.42,3,6.963,146.223,13:24,Credit Card,139.26,4.761904762,6.963,4.4,146.22299999999998
2021-10-28,891-58-8335,B,Hyderabad,Member,Female,Sports And Travel,29.61,7,10.3635,217.6335,15:53,Cash,207.27,4.761904762,10.3635,6.5,217.63349999999997
2021-10-29,802-43-8934,A,Banglore,Normal,Male,Home And Lifestyle,18.28,1,0.914,19.194,15:05,Credit Card,18.28,4.761904762,0.914,8.3,19.194000000000003
2021-11-01,560-30-5617,B,Hyderabad,Normal,Female,Sports And Travel,24.77,5,6.1925,130.0425,18:27,Cash,123.85,4.761904762,6.1925,8.5,130.0425
2021-11-02,319-74-2561,A,Banglore,Member,Female,Electronic Accessories,94.64,3,14.196,298.116,16:55,Cash,283.92,4.761904762,14.196,5.5,298.11600000000004
2021-11-03,549-03-9315,B,Hyderabad,Normal,Male,Fashion Accessories,94.87,8,37.948,796.908,12:58,Ewallet,758.96,4.761904762,37.948,8.7,796.908
2021-11-04,790-29-1172,B,Hyderabad,Normal,Female,Food And Beverages,57.34,3,8.601,180.621,18:59,Credit Card,172.02,4.761904762,8.601,7.9,180.621
2021-11-05,239-36-3640,B,Hyderabad,Normal,Male,Electronic Accessories,45.35,6,13.605,285.705,13:44,Ewallet,272.1,4.761904762,13.605,6.1,285.70500000000004
2021-11-08,468-01-2051,B,Hyderabad,Normal,Male,Food And Beverages,62.08,7,21.728,456.288,13:46,Ewallet,434.56,4.761904762,21.728,5.4,456.288
2021-11-09,389-25-3394,C,Vizag,Normal,Male,Electronic Accessories,11.81,5,2.9525,62.0025,18:06,Cash,59.05,4.761904762,2.9525,9.4,62.002500000000005
2021-11-10,279-62-1445,C,Vizag,Member,Female,Fashion Accessories,12.54,1,0.627,13.167,12:38,Cash,12.54,4.761904762,0.627,8.2,13.167
2021-11-11,213-72-6612,A,Banglore,Normal,Male,Food And Beverages,43.25,2,4.325,90.825,15:56,Cash,86.5,4.761904762,4.325,6.2,90.825
2021-11-12,746-68-6593,C,Vizag,Member,Female,Sports And Travel,87.16,2,8.716,183.036,14:29,Credit Card,174.32,4.761904762,8.716,9.7,183.036
2021-11-15,836-82-5858,B,Hyderabad,Member,Male,Health And Beauty,69.37,9,31.2165,655.5465,19:14,Ewallet,624.33,4.761904762,31.2165,4.0,655.5465
2021-11-16,583-72-1480,C,Vizag,Member,Male,Electronic Accessories,37.06,4,7.412,155.652,16:24,Ewallet,148.24,4.761904762,7.412,9.7,155.65200000000002
2021-11-17,466-61-5506,B,Hyderabad,Member,Female,Electronic Accessories,90.7,6,27.21,571.41,10:52,Cash,544.2,4.761904762,27.21,5.3,571.4100000000001
2021-11-18,721-86-6247,A,Banglore,Normal,Female,Home And Lifestyle,63.42,8,25.368,532.728,12:55,Ewallet,507.36,4.761904762,25.368,7.4,532.7280000000001
2021-11-19,289-65-5721,B,Hyderabad,Normal,Female,Fashion Accessories,81.37,2,8.137,170.877,19:28,Cash,162.74,4.761904762,8.137,6.5,170.877
2021-11-22,545-46-3100,B,Hyderabad,Member,Female,Electronic Accessories,10.59,3,1.5885,33.3585,13:52,Credit Card,31.77,4.761904762,1.5885,8.7,33.3585
2021-11-23,418-02-5978,B,Hyderabad,Normal,Female,Health And Beauty,84.09,9,37.8405,794.6505,10:54,Cash,756.81,4.761904762,37.8405,8.0,794.6505000000001
2021-11-24,269-04-5750,B,Hyderabad,Member,Male,Fashion Accessories,73.82,4,14.764,310.044,18:31,Cash,295.28,4.761904762,14.764,6.7,310.044
2021-11-25,157-13-5295,A,Banglore,Member,Male,Health And Beauty,51.94,10,25.97,545.37,18:24,Ewallet,519.4,4.761904762,25.97,6.5,545.37
2021-11-26,645-78-8093,A,Banglore,Normal,Female,Sports And Travel,93.14,2,9.314,195.594,18:09,Ewallet,186.28,4.761904762,9.314,4.1,195.594
2021-11-29,211-30-9270,C,Vizag,Normal,Male,Health And Beauty,17.41,5,4.3525,91.4025,15:16,Credit Card,87.05,4.761904762,4.3525,4.9,91.4025
2021-11-30,755-12-3214,C,Vizag,Member,Female,Fashion Accessories,44.22,5,11.055,232.155,17:07,Credit Card,221.1,4.761904762,11.055,8.6,232.155
2021-12-01,346-84-3103,B,Hyderabad,Member,Female,Electronic Accessories,13.22,5,3.305,69.405,19:26,Cash,66.1,4.761904762,3.305,4.3,69.40500000000002
2021-12-02,478-06-7835,A,Banglore,Normal,Male,Fashion Accessories,89.69,1,4.4845,94.1745,11:20,Ewallet,89.69,4.761904762,4.4845,4.9,94.1745
2021-12-03,540-11-4336,A,Banglore,Normal,Male,Food And Beverages,24.94,9,11.223,235.683,16:49,Credit Card,224.46,4.761904762,11.223,5.6,235.68300000000002
2021-12-06,448-81-5016,A,Banglore,Normal,Male,Health And Beauty,59.77,2,5.977,125.517,12:01,Credit Card,119.54,4.761904762,5.977,5.8,125.51700000000001
2021-12-07,142-72-4741,C,Vizag,Member,Male,Fashion Accessories,93.2,2,9.32,195.72,18:37,Credit Card,186.4,4.761904762,9.32,6.0,195.72
2021-12-08,217-58-1179,A,Banglore,Member,Male,Home And Lifestyle,62.65,4,12.53,263.13,11:25,Cash,250.6,4.761904762,12.53,4.2,263.13
2021-12-09,376-02-8238,B,Hyderabad,Normal,Male,Home And Lifestyle,93.87,8,37.548,788.508,18:42,Credit Card,750.96,4.761904762,37.548,8.3,788.508
2021-12-10,530-90-9855,A,Banglore,Member,Male,Home And Lifestyle,47.59,8,19.036,399.756,14:47,Cash,380.72,4.761904762,19.036,5.7,399.75600000000003
2021-12-13,866-05-7563,B,Hyderabad,Member,Female,Electronic Accessories,81.4,3,12.21,256.41,19:43,Cash,244.2,4.761904762,12.21,4.8,256.41
2021-12-14,604-70-6476,A,Banglore,Member,Male,Fashion Accessories,17.94,5,4.485,94.185,14:04,Ewallet,89.7,4.761904762,4.485,6.8,94.185
2021-12-15,799-71-1548,A,Banglore,Member,Male,Electronic Accessories,77.72,4,15.544,326.424,16:11,Credit Card,310.88,4.761904762,15.544,8.8,326.424
2021-12-16,785-13-7708,B,Hyderabad,Normal,Male,Food And Beverages,73.06,7,25.571,536.991,19:06,Credit Card,511.42,4.761904762,25.571,4.2,536.991
2021-12-17,845-51-0542,B,Hyderabad,Member,Male,Food And Beverages,46.55,9,20.9475,439.8975,15:34,Ewallet,418.95,4.761904762,20.9475,6.4,439.8975
2021-12-20,662-47-5456,C,Vizag,Member,Male,Fashion Accessories,35.19,10,17.595,369.495,19:06,Credit Card,351.9,4.761904762,17.595,8.4,369.495
2021-12-21,883-17-4236,C,Vizag,Normal,Female,Sports And Travel,14.39,2,1.439,30.219,19:44,Credit Card,28.78,4.761904762,1.439,7.2,30.219
2021-12-22,290-68-2984,A,Banglore,Normal,Male,Home And Lifestyle,23.75,4,4.75,99.75,11:22,Cash,95.0,4.761904762,4.75,5.2,99.75
2021-12-23,704-11-6354,A,Banglore,Member,Male,Home And Lifestyle,58.9,8,23.56,494.76,11:23,Cash,471.2,4.761904762,23.56,8.9,494.76
2021-12-24,110-48-7033,B,Hyderabad,Member,Male,Fashion Accessories,32.62,4,6.524,137.004,14:12,Cash,130.48,4.761904762,6.524,9.0,137.004
2021-12-27,366-93-0948,A,Banglore,Member,Male,Electronic Accessories,66.35,1,3.3175,69.6675,10:46,Credit Card,66.35,4.761904762,3.3175,9.7,69.66749999999999
2021-12-28,729-09-9681,A,Banglore,Member,Male,Home And Lifestyle,25.91,6,7.773,163.233,10:16,Ewallet,155.46,4.761904762,7.773,8.7,163.233
2021-12-29,151-16-1484,A,Banglore,Member,Male,Electronic Accessories,32.25,4,6.45,135.45,12:38,Ewallet,129.0,4.761904762,6.45,6.5,135.45
2021-12-30,380-94-4661,C,Vizag,Member,Male,Electronic Accessories,65.94,4,13.188,276.948,13:05,Credit Card,263.76,4.761904762,13.188,6.9,276.948
2021-12-31,850-41-9669,A,Banglore,Normal,Female,Electronic Accessories,75.06,9,33.777,709.317,13:25,Ewallet,675.54,4.761904762,33.777,6.2,709.317
2022-01-03,821-07-3596,C,Vizag,Normal,Female,Fashion Accessories,16.45,4,3.29,69.09,14:53,Ewallet,65.8,4.761904762,3.29,5.6,69.09
2022-01-04,655-85-5130,B,Hyderabad,Member,Female,Fashion Accessories,38.3,4,7.66,160.86,19:22,Cash,153.2,4.761904762,7.66,5.7,160.85999999999999
2022-01-05,447-15-7839,A,Banglore,Member,Female,Sports And Travel,22.24,10,11.12,233.52,11:00,Cash,222.4,4.761904762,11.12,4.2,233.51999999999998
2022-01-06,154-74-7179,B,Hyderabad,Normal,Male,Sports And Travel,54.45,1,2.7225,57.1725,19:24,Ewallet,54.45,4.761904762,2.7225,7.9,57.1725
2022-01-07,253-12-6086,A,Banglore,Member,Female,Sports And Travel,98.4,7,34.44,723.24,12:43,Credit Card,688.8,4.761904762,34.44,8.7,723.24
2022-01-10,808-65-0703,C,Vizag,Normal,Male,Home And Lifestyle,35.47,4,7.094,148.974,17:22,Credit Card,141.88,4.761904762,7.094,6.9,148.974
2022-01-11,571-94-0759,B,Hyderabad,Member,Female,Food And Beverages,74.6,10,37.3,783.3,20:55,Cash,746.0,4.761904762,37.3,9.5,783.3
2022-01-12,144-51-6085,A,Banglore,Member,Male,Home And Lifestyle,70.74,4,14.148,297.108,16:05,Credit Card,282.96,4.761904762,14.148,4.4,297.108
2022-01-13,731-14-2199,A,Banglore,Member,Female,Home And Lifestyle,35.54,10,17.77,373.17,13:34,Ewallet,355.4,4.761904762,17.77,7.0,373.16999999999996
2022-01-14,783-09-1637,B,Hyderabad,Normal,Female,Sports And Travel,67.43,5,16.8575,354.0075,18:13,Ewallet,337.15,4.761904762,16.8575,6.3,354.00750000000005
2022-01-17,687-15-1097,C,Vizag,Member,Female,Health And Beauty,21.12,2,2.112,44.352,19:17,Cash,42.24,4.761904762,2.112,9.7,44.352000000000004
2022-01-18,126-54-1082,A,Banglore,Member,Female,Home And Lifestyle,21.54,9,9.693,203.553,11:44,Credit Card,193.86,4.761904762,9.693,8.8,203.553
2022-01-19,633-91-1052,A,Banglore,Normal,Female,Home And Lifestyle,12.03,2,1.203,25.263,15:51,Cash,24.06,4.761904762,1.203,5.1,25.262999999999998
2022-01-20,477-24-6490,B,Hyderabad,Normal,Female,Health And Beauty,99.71,6,29.913,628.173,16:52,Ewallet,598.26,4.761904762,29.913,7.9,628.173
2022-01-21,566-19-5475,B,Hyderabad,Normal,Male,Fashion Accessories,47.97,7,16.7895,352.5795,20:52,Cash,335.79,4.761904762,16.7895,6.2,352.57949999999994
2022-01-24,526-86-8552,C,Vizag,Member,Female,Home And Lifestyle,21.82,10,10.91,229.11,17:36,Cash,218.2,4.761904762,10.91,7.1,229.10999999999999
2022-01-25,376-56-3573,C,Vizag,Normal,Female,Fashion Accessories,95.42,4,19.084,400.764,13:23,Ewallet,381.68,4.761904762,19.084,6.4,400.764
2022-01-26,537-72-0426,C,Vizag,Member,Male,Fashion Accessories,70.99,10,35.495,745.395,16:28,Cash,709.9,4.761904762,35.495,5.7,745.395
2022-01-27,828-61-5674,A,Banglore,Member,Male,Sports And Travel,44.02,10,22.01,462.21,19:57,Credit Card,440.2,4.761904762,22.01,9.6,462.21000000000004
2022-01-28,136-08-6195,A,Banglore,Normal,Female,Home And Lifestyle,69.96,8,27.984,587.664,17:01,Credit Card,559.68,4.761904762,27.984,6.4,587.664
2022-01-31,523-38-0215,C,Vizag,Normal,Male,Home And Lifestyle,37.0,1,1.85,38.85,13:29,Credit Card,37.0,4.761904762,1.85,7.9,38.85
2022-02-01,490-29-1201,A,Banglore,Normal,Female,Sports And Travel,15.34,1,0.767,16.107,11:09,Cash,15.34,4.761904762,0.767,6.5,16.107
2022-02-02,667-92-0055,A,Banglore,Member,Male,Health And Beauty,99.83,6,29.949,628.929,15:02,Ewallet,598.98,4.761904762,29.949,8.5,628.929
2022-02-03,565-17-3836,A,Banglore,Member,Female,Health And Beauty,47.67,4,9.534,200.214,14:21,Cash,190.68,4.761904762,9.534,9.1,200.214
2022-02-04,498-41-1961,B,Hyderabad,Normal,Male,Health And Beauty,66.68,5,16.67,350.07,18:01,Cash,333.4,4.761904762,16.67,7.6,350.07000000000005
2022-02-07,593-95-4461,C,Vizag,Member,Male,Home And Lifestyle,74.86,1,3.743,78.603,14:49,Cash,74.86,4.761904762,3.743,6.9,78.603
2022-02-08,226-71-3580,C,Vizag,Normal,Female,Sports And Travel,23.75,9,10.6875,224.4375,12:02,Cash,213.75,4.761904762,10.6875,9.5,224.4375
2022-02-09,283-79-9594,B,Hyderabad,Normal,Female,Food And Beverages,48.51,7,16.9785,356.5485,13:30,Credit Card,339.57,4.761904762,16.9785,5.2,356.5485
2022-02-10,430-60-3493,A,Banglore,Member,Female,Home And Lifestyle,94.88,7,33.208,697.368,14:38,Cash,664.16,4.761904762,33.208,4.2,697.3679999999999
2022-02-11,139-20-0155,B,Hyderabad,Member,Male,Electronic Accessories,40.3,10,20.15,423.15,17:37,Credit Card,403.0,4.761904762,20.15,7.0,423.15
2022-02-14,558-80-4082,C,Vizag,Normal,Male,Electronic Accessories,27.85,7,9.7475,204.6975,17:20,Ewallet,194.95,4.761904762,9.7475,6.0,204.69750000000002
2022-02-15,278-97-7759,A,Banglore,Member,Female,Electronic Accessories,62.48,1,3.124,65.604,20:29,Cash,62.48,4.761904762,3.124,4.7,65.604
2022-02-16,316-68-6352,A,Banglore,Member,Female,Food And Beverages,36.36,2,3.636,76.356,10:00,Cash,72.72,4.761904762,3.636,7.1,76.356
2022-02-17,585-03-5943,B,Hyderabad,Normal,Male,Health And Beauty,18.11,10,9.055,190.155,11:46,Ewallet,181.1,4.761904762,9.055,5.9,190.155
2022-02-18,211-05-0490,C,Vizag,Member,Female,Electronic Accessories,51.92,5,12.98,272.58,13:42,Cash,259.6,4.761904762,12.98,7.5,272.58000000000004
2022-02-21,727-75-6477,C,Vizag,Normal,Male,Electronic Accessories,28.84,4,5.768,121.128,14:44,Cash,115.36,4.761904762,5.768,6.4,121.128
2022-02-22,744-02-5987,A,Banglore,Member,Male,Home And Lifestyle,78.38,6,23.514,493.794,14:16,Ewallet,470.28,4.761904762,23.514,5.8,493.794
2022-02-23,307-83-9164,A,Banglore,Member,Male,Home And Lifestyle,60.01,4,12.002,252.042,15:54,Cash,240.04,4.761904762,12.002,4.5,252.042
2022-02-24,779-06-0012,C,Vizag,Member,Female,Home And Lifestyle,88.61,1,4.4305,93.0405,10:21,Cash,88.61,4.761904762,4.4305,7.7,93.0405
2022-02-25,446-47-6729,C,Vizag,Normal,Male,Fashion Accessories,99.82,2,9.982,209.622,18:09,Credit Card,199.64,4.761904762,9.982,6.7,209.62199999999999
2022-02-28,573-10-3877,B,Hyderabad,Member,Male,Health And Beauty,39.01,1,1.9505,40.9605,16:46,Credit Card,39.01,4.761904762,1.9505,4.7,40.960499999999996
2022-03-01,735-06-4124,C,Vizag,Normal,Male,Food And Beverages,48.61,1,2.4305,51.0405,15:31,Cash,48.61,4.761904762,2.4305,4.4,51.0405
2022-03-02,439-54-7422,A,Banglore,Normal,Female,Electronic Accessories,51.19,4,10.238,214.998,17:15,Credit Card,204.76,4.761904762,10.238,4.7,214.998
2022-03-03,396-90-2219,B,Hyderabad,Normal,Female,Electronic Accessories,14.96,8,5.984,125.664,12:29,Cash,119.68,4.761904762,5.984,8.6,125.664
2022-03-04,411-77-0180,A,Banglore,Member,Male,Electronic Accessories,72.2,7,25.27,530.67,20:14,Ewallet,505.4,4.761904762,25.27,4.3,530.6700000000001
2022-03-07,286-01-5402,A,Banglore,Normal,Female,Sports And Travel,40.23,7,14.0805,295.6905,13:22,Cash,281.61,4.761904762,14.0805,9.6,295.69049999999993
2022-03-08,803-17-8013,A,Banglore,Member,Female,Home And Lifestyle,88.79,8,35.516,745.836,17:09,Cash,710.32,4.761904762,35.516,4.1,745.836
2022-03-09,512-98-1403,A,Banglore,Member,Female,Electronic Accessories,26.48,3,3.972,83.412,10:40,Ewallet,79.44,4.761904762,3.972,4.7,83.41199999999999
2022-03-10,848-42-2560,A,Banglore,Normal,Female,Fashion Accessories,81.91,2,8.191,172.011,17:43,Cash,163.82,4.761904762,8.191,7.8,172.011
2022-03-11,532-59-7201,B,Hyderabad,Member,Male,Sports And Travel,79.93,6,23.979,503.559,14:04,Cash,479.58,4.761904762,23.979,5.5,503.559
2022-03-14,181-94-6432,C,Vizag,Member,Male,Fashion Accessories,69.33,2,6.933,145.593,19:05,Ewallet,138.66,4.761904762,6.933,9.7,145.593
2022-03-15,870-76-1733,A,Banglore,Member,Female,Food And Beverages,14.23,5,3.5575,74.7075,10:08,Credit Card,71.15,4.761904762,3.5575,4.4,74.70750000000001
2022-03-16,423-64-4619,A,Banglore,Member,Female,Health And Beauty,15.55,9,6.9975,146.9475,13:12,Cash,139.95,4.761904762,6.9975,5.0,146.94750000000002
2022-03-17,227-07-4446,C,Vizag,Member,Female,Electronic Accessories,78.13,10,39.065,820.365,20:51,Cash,781.3,4.761904762,39.065,4.4,820.365
2022-03-18,174-36-3675,C,Vizag,Member,Male,Food And Beverages,99.37,2,9.937,208.677,17:29,Cash,198.74,4.761904762,9.937,5.2,208.67700000000002
2022-03-21,428-83-5800,C,Vizag,Member,Female,Food And Beverages,21.08,3,3.162,66.402,10:25,Cash,63.24,4.761904762,3.162,7.3,66.402
2022-03-22,603-07-0961,C,Vizag,Member,Male,Electronic Accessories,74.79,5,18.6975,392.6475,11:34,Cash,373.95,4.761904762,18.6975,4.9,392.64750000000004
2022-03-23,704-20-4138,C,Vizag,Member,Female,Health And Beauty,29.67,7,10.3845,218.0745,18:58,Credit Card,207.69,4.761904762,10.3845,8.1,218.0745
2022-03-24,787-15-1757,C,Vizag,Member,Male,Health And Beauty,44.07,4,8.814,185.094,16:28,Ewallet,176.28,4.761904762,8.814,8.4,185.094
2022-03-25,649-11-3678,C,Vizag,Normal,Female,Food And Beverages,22.93,9,10.3185,216.6885,20:26,Cash,206.37,4.761904762,10.3185,5.5,216.6885
2022-03-28,622-20-1945,C,Vizag,Normal,Female,Health And Beauty,39.42,1,1.971,41.391,15:08,Cash,39.42,4.761904762,1.971,8.4,41.391000000000005
2022-03-29,372-94-8041,A,Banglore,Normal,Male,Health And Beauty,15.26,6,4.578,96.138,18:03,Ewallet,91.56,4.761904762,4.578,9.8,96.138
2022-03-30,563-91-7120,A,Banglore,Normal,Female,Fashion Accessories,61.77,5,15.4425,324.2925,13:21,Cash,308.85,4.761904762,15.4425,6.7,324.2925
2022-03-31,746-54-5508,A,Banglore,Normal,Male,Home And Lifestyle,21.52,6,6.456,135.576,12:48,Credit Card,129.12,4.761904762,6.456,9.4,135.576
2022-04-01,276-54-0879,B,Hyderabad,Normal,Male,Sports And Travel,97.74,4,19.548,410.508,19:53,Ewallet,390.96,4.761904762,19.548,6.4,410.508
2022-04-04,815-11-1168,A,Banglore,Member,Male,Food And Beverages,99.78,5,24.945,523.845,19:09,Cash,498.9,4.761904762,24.945,5.4,523.845
2022-04-05,719-76-3868,C,Vizag,Member,Male,Food And Beverages,94.26,4,18.852,395.892,16:30,Cash,377.04,4.761904762,18.852,8.6,395.892
2022-04-06,730-61-8757,B,Hyderabad,Member,Male,Health And Beauty,51.13,4,10.226,214.746,10:11,Credit Card,204.52,4.761904762,10.226,4.0,214.746
